vegard 75	low
roques 242	low
apoelstra 2	low
gmaxwell 910	low
wtogami 472	low
davout 7	low
cardpuncher 4	low
grimd34th 21	low
r000n 44	low
fcicq 33	low
sgimenez 67	low
ptrckbrwn 2	low
Krellan 141	low
wyager 0	low
nobled 121	low
iongchun 0	low
dlitz 23	low
JoelKatz 254	low
jonasschnelli 2795	low
al42and 57	low
phelixbtc 6	low
laanwj 298495	very_high
fanquake 646	low
gavinandresen 131645	high
vinniefalco 55419	medium
mhanne 4	low
luke-jr 14351	low
mgiuca 19	low
justmoon 1139	low
redshark1802 14	low
gandaro 0	low
dserrano5 6	low
robbak 14	low
rebroad 96	low
drizzt 6	low
burger2 4	low
super3 3054	low
mndrix 67	low
coderrr 170	low
94m3k1n9 9	low
cozz 2618	low
Diapolo 332780	very_high
jburkle 0	low
jrmithdobbs 175	low
vsrinivas 16	low
sje397 1716	low
runeksvendsen 181	low
kwaaak 0	low
colindean 385	low
maqifrnswa 229	low
pstratem 96	low
xanatos 144	low
DavidGriffith 2	low
APerson241 4	low
L2G 1	low
dooglus 3065	low
alexwaters 20	low
mibe 1294	low
xHire 2287	low
celeduc 6	low
mikehearn 26812	medium
Nothing4You 24	low
alexanderkjeldaas 142	low
Matoking 169	low
tucenaber 6	low
jordanlewis 79	low
devrandom 312	low
sipa 45197	medium
CodeShark 4268	low
spiechu 1504	low
bytemaster 4	low
cryptocoins 2	low
jgarzik 3845	low
jcalvinowens 6	low
p2k 2266	low
enmaku 333	low
EricJ2190 55	low
jayschwa 7	low
celil-kj 30	low
CAFxX 10	low
muggenhor 1715	low
paraipan 4737	low
petterreinholdtsen 2	low
cdhowie 73	low
Michagogo 165	low
Arnavion 64	low
rdponticelli 7	low
shanew 0	low
mb300sd 7	low
forrestv 235	low
mcassano 18	low
xslidian 861	low
petertodd 468	low
freewil 145	low
globalcitizen 77	low
brandondahler 4162	low
constantined 1095	low
TheBlueMatt 11383	low
codler 1654	low
wizeman 212	low
