vegard 	2	low
roques 	12	low
apoelstra 	2	low
gmaxwell 	754	high
wtogami 	148	medium
davout 	20	low
cardpuncher 	12	low
grimd34th 	3	low
r000n 	5	low
fcicq 	4	low
sgimenez 	22	low
ptrckbrwn 	1	low
Krellan 	29	low
wyager 	0	low
nobled 	0	low
iongchun 	6	low
dlitz 	4	low
JoelKatz 	17	low
jonasschnelli 	203	medium
al42and 	2	low
phelixbtc 	6	low
laanwj 	2388	very_high
fanquake 	82	low
gavinandresen 	1396	high
vinniefalco 	22	low
mhanne 	0	low
luke-jr 	1001	high
mgiuca 	3	low
justmoon 	8	low
redshark1802 	1	low
gandaro 	1	low
dserrano5 	3	low
robbak 	27	low
rebroad 	277	medium
drizzt 	3	low
burger2 	44	low
super3 	42	low
mndrix 	14	low
coderrr 	17	low
94m3k1n9 	4	low
cozz 	44	low
Diapolo 	2433	very_high
jburkle 	0	low
jrmithdobbs 	37	low
vsrinivas 	0	low
sje397 	77	low
runeksvendsen 	33	low
kwaaak 	1	low
colindean 	21	low
maqifrnswa 	1	low
pstratem 	12	low
xanatos 	22	low
DavidGriffith 	0	low
APerson241 	6	low
L2G 	29	low
dooglus 	141	medium
alexwaters 	93	low
mibe 	3	low
xHire 	2	low
celeduc 	0	low
mikehearn 	189	medium
Nothing4You 	5	low
alexanderkjeldaas 	4	low
Matoking 	6	low
tucenaber 	4	low
jordanlewis 	8	low
devrandom 	5	low
sipa 	1896	very_high
CodeShark 	59	low
spiechu 	1	low
bytemaster 	3	low
cryptocoins 	0	low
jgarzik 	1061	high
jcalvinowens 	1	low
p2k 	6	low
enmaku 	14	low
EricJ2190 	4	low
jayschwa 	5	low
celil-kj 	0	low
CAFxX 	14	low
muggenhor 	38	low
paraipan 	25	low
petterreinholdtsen 	0	low
cdhowie 	13	low
Michagogo 	23	low
Arnavion 	0	low
rdponticelli 	20	low
shanew 	2	low
mb300sd 	3	low
forrestv 	18	low
mcassano 	3	low
xslidian 	0	low
petertodd 	230	medium
freewil 	21	low
globalcitizen 	0	low
brandondahler 	29	low
constantined 	3	low
TheBlueMatt 	729	high
codler 	6	low
wizeman 	8	low
