vegard 2	low
roques 5	low
apoelstra 2	low
gmaxwell 39	medium
wtogami 9	low
davout 3	low
cardpuncher 4	low
grimd34th 5	low
r000n 3	low
fcicq 2	low
sgimenez 4	low
ptrckbrwn 1	low
Krellan 3	low
wyager 1	low
nobled 2	low
iongchun 2	low
dlitz 1	low
JoelKatz 2	low
jonasschnelli 19	medium
al42and 3	low
phelixbtc 4	low
laanwj 181	high
fanquake 38	medium
gavinandresen 159	high
vinniefalco 3	low
mhanne 2	low
luke-jr 129	high
mgiuca 3	low
justmoon 0	low
redshark1802 1	low
gandaro 1	low
dserrano5 1	low
robbak 6	low
rebroad 31	medium
drizzt 2	low
burger2 1	low
super3 14	medium
mndrix 3	low
coderrr 2	low
94m3k1n9 1	low
cozz 5	low
Diapolo 425	very_high
jburkle 1	low
jrmithdobbs 14	medium
vsrinivas 0	low
sje397 8	low
runeksvendsen 6	low
kwaaak 1	low
colindean 4	low
maqifrnswa 1	low
pstratem 5	low
xanatos 18	medium
DavidGriffith 1	low
APerson241 1	low
L2G 1	low
dooglus 24	medium
alexwaters 5	low
mibe 5	low
xHire 4	low
celeduc 1	low
mikehearn 8	low
Nothing4You 1	low
alexanderkjeldaas 4	low
Matoking 2	low
tucenaber 1	low
jordanlewis 2	low
devrandom 3	low
sipa 251	very_high
CodeShark 19	medium
spiechu 3	low
bytemaster 1	low
cryptocoins 0	low
jgarzik 108	high
jcalvinowens 2	low
p2k 1	low
enmaku 2	low
EricJ2190 3	low
jayschwa 3	low
celil-kj 0	low
CAFxX 4	low
muggenhor 9	low
paraipan 8	low
petterreinholdtsen 0	low
cdhowie 3	low
Michagogo 10	low
Arnavion 1	low
rdponticelli 3	low
shanew 1	low
mb300sd 2	low
forrestv 8	low
mcassano 1	low
xslidian 3	low
petertodd 21	medium
freewil 8	low
globalcitizen 1	low
brandondahler 5	low
constantined 1	low
TheBlueMatt 159	high
codler 9	low
wizeman 3	low
