vegard 	2	low
roques 	5	low
apoelstra 	2	low
gmaxwell 	73	high
wtogami 	13	medium
davout 	12	medium
cardpuncher 	11	medium
grimd34th 	5	low
r000n 	3	low
fcicq 	2	low
sgimenez 	7	low
ptrckbrwn 	1	low
Krellan 	4	low
wyager 	1	low
nobled 	2	low
iongchun 	2	low
dlitz 	1	low
JoelKatz 	4	low
jonasschnelli 	25	medium
al42and 	3	low
phelixbtc 	4	low
laanwj 	211	very_high
fanquake 	43	high
gavinandresen 	246	very_high
vinniefalco 	3	low
mhanne 	2	low
luke-jr 	171	very_high
mgiuca 	4	low
justmoon 	0	low
redshark1802 	1	low
gandaro 	1	low
dserrano5 	1	low
robbak 	6	low
rebroad 	58	high
drizzt 	2	low
burger2 	4	low
super3 	17	medium
mndrix 	4	low
coderrr 	2	low
94m3k1n9 	1	low
cozz 	5	low
Diapolo 	515	very_high
jburkle 	2	low
jrmithdobbs 	14	medium
vsrinivas 	0	low
sje397 	8	medium
runeksvendsen 	9	medium
kwaaak 	1	low
colindean 	5	low
maqifrnswa 	1	low
pstratem 	7	low
xanatos 	38	medium
DavidGriffith 	1	low
APerson241 	4	low
L2G 	4	low
dooglus 	54	high
alexwaters 	11	medium
mibe 	4	low
xHire 	5	low
celeduc 	1	low
mikehearn 	11	medium
Nothing4You 	1	low
alexanderkjeldaas 	4	low
Matoking 	2	low
tucenaber 	2	low
jordanlewis 	2	low
devrandom 	3	low
sipa 	277	very_high
CodeShark 	19	medium
spiechu 	3	low
bytemaster 	1	low
cryptocoins 	0	low
jgarzik 	135	high
jcalvinowens 	2	low
p2k 	1	low
enmaku 	4	low
EricJ2190 	3	low
jayschwa 	5	low
celil-kj 	1	low
CAFxX 	4	low
muggenhor 	9	medium
paraipan 	10	medium
petterreinholdtsen 	0	low
cdhowie 	3	low
Michagogo 	11	medium
Arnavion 	1	low
rdponticelli 	5	low
shanew 	1	low
mb300sd 	4	low
forrestv 	8	medium
mcassano 	3	low
xslidian 	3	low
petertodd 	21	medium
freewil 	10	medium
globalcitizen 	1	low
brandondahler 	6	low
constantined 	1	low
TheBlueMatt 	183	very_high
codler 	11	medium
wizeman 	5	low
